Number,Gene Name, Transmembrane Domain?
213,TAC1,False
214,HTR5A,True
215,MAP7D2,False
216,SYT2,True
217,CACNG2,True
218,UNC80,True
219,SLC8A2,True
220,DLX1,False
221,CAMK2B,False
222,CCNA1,False
223,TMEM145,True
224,RBFOX3,False
225,NMNAT2,False
226,PVALB,False
227,ADGRA1,True
228,SLC1A6,True
229,JAKMIP1,False
230,NRIP3,False
231,GRIA1,True
232,PRMT8,False
233,PPFIA4,False
234,RGS8,False
235,MDGA2,False
236,PTPRR,True
237,SCN3A,True
238,KCNC1,True
239,CACNA1B,True
240,ST8SIA5,True
241,CDH9,True
242,PLPPR5,True
243,ST8SIA3,True
244,NEFL,False
245,SLC12A5,True
246,GPRIN1,False
247,DACH2,False
248,ELAVL2,False
249,SLC32A1,True
250,SYT16,False
251,SULT4A1,False
252,CDH18,True
253,ATP8A2,True
254,CREG2,False
255,AKAP5,False
256,SYNPR,True
257,OPRK1,True
258,SCN2A,True
259,CPLX2,False
260,SYP,True
261,GRIN2B,True
262,PNMA2,False
263,SV2C,True
264,NECAB2,False
265,GRIA3,True
266,ARHGAP36,False
267,CDH7,True
268,GAD2,False
269,NEUROD6,False
270,LRRC55,True
271,GUCA1A,False
272,KCTD8,False
273,AGBL4,False
274,CAMK4,False
275,CELF5,False
276,GPR158,True
277,SYT4,True
278,ERICH3,False
279,GRIK1,True
280,TBR1,False
281,CAMKV,False
282,INA,False
283,DCX,False
284,KRT222,False
285,FRRS1L,True
286,GAD1,False
287,LAMP5,True
288,HS3ST5,True
289,CDH8,True
290,HPCA,False
291,CITED1,False
292,SYN1,False
293,GRM1,True
294,CHGB,False
295,GABRG3,True
296,ELAVL4,False
297,ATP2B3,True
298,WNT10B,False
299,CCK,False
300,GRIN2A,True
301,PENK,False
302,WSCD2,True
303,PABPC1L2A,False
304,PABPC1L2A,False
305,SLC4A10,True
306,ADD2,False
307,ATP1A3,True
308,KCTD16,False
309,DCC,True
310,KCNA1,True
311,SV2B,True
312,CELF4,False
313,GABRA1,True
314,CLVS1,False
315,FAM155A,True
316,ATP2B2,True
317,HAPLN4,False
318,CALY,True
319,ASIC2,True
320,TAGLN3,False
321,SH3GL2,False
322,SLC6A17,True
323,CACNG8,True
324,PPP1R17,False
325,CTXN2,True
326,SEZ6,True
327,SLC17A6,True
328,PAK5,False
329,NDST3,True
330,TMEM132D,True
331,GABRB2,True
332,PTPN5,True
333,PCDHA1,True
334,PDYN,False
335,GPR26,True
336,GABRA6,True
337,HCN1,True
338,GDAP1L1,False
339,C11orf87,True
340,GABBR2,True
341,EIF4E1B,False
342,GLRA2,True
343,SNCB,False
344,CACNG3,True
