Number,Gene Name
395,GCAT
396,LAMB2
397,MRPL12
398,TMEM167A
399,TMEM167B
400,KERA
401,KIFC2
402,ITLN2
403,PROCR
404,ENDOU
405,EPHA10
406,CES5A
407,FBLN2
408,ERVV-1
409,ENTPD5
410,DNASE2B
411,P0DMU5
412,MCL1
413,FGFR4
414,FAM187B
415,EMC1
416,ADCK1
417,GOLGB1
418,GP9
419,IGFLR1
420,IL12A
421,IER3IP1
422,IGSF3
423,IL17F
424,IL17A
425,IL23A
426,HSP90AB1
427,IL2
428,FRRS1L
429,FUCA2
430,GATD1
431,FCRL5
432,RDH13
433,FTCDNL1
434,FUCA1
435,HMCN1
436,HMCN2
437,COQ5
438,ATP13A1
439,IL11
440,IL15
441,ICAM4
442,HAPLN4
443,MRPL27
444,GUCA2B
445,GK3P
446,GABRP
447,FMO5
448,FRRS1
449,GABRG1
450,GABRG2
451,GABRR3
452,GLIPR1
453,GPRC5B
454,GABRE
455,GYPE
456,GKN2
457,SDHD
458,LY6G5B
459,MALL
460,LTC4S
461,LOXHD1
462,LHB
463,LRCH4
464,HSD17B8
465,LIF
466,LRRC14
467,LGR5
468,LRFN1
469,LGALS3BP
470,HHIP
471,HLA-G
472,SQOR
473,MFGE8
474,MMRN1
475,PRSS42P
476,PTPRCAP
477,P30042
478,MYADM
479,GTPBP3
480,NYX
481,MGARP
482,NRDC
483,NTF4
484,NTRK3
485,PVRIG
486,RFPL4B
487,NIPSNAP3A
488,PI15
489,PGC
490,F2RL3
491,MEP1A
492,MT-CO3
493,MAP2K2
494,MUC6
495,MUC4
496,MMRN2
497,OGG1
498,MUC22
499,MUCL1
500,ABCC10
501,MMP27
502,MOSMO
503,PODNL1
504,SRD5A3
505,GPLD1
506,PIGG
507,POMGNT2
508,PON1
509,PORCN
510,PIGO
511,PLIN4
512,SLC25A17
513,PINLYP
514,GLYCTK
515,NHLRC2
516,NECAB3
517,NDUFAF7
518,NOMO2
519,NKAIN3
520,MBTPS2
521,MYCBP2
522,TACO1
523,HTRA2
524,FBN3
525,FGF22
526,FGFBP1
527,EFEMP2
528,FUOM
529,DSE
530,SLC10A3
531,HINT2
532,NPW
533,NR0B2
534,OLFML2B
535,PRADC1
536,NXPE4
537,TSPAN8
538,TRAV19
539,TRBV3-1
540,TRBV10-3
541,UPK1B
542,TSPAN1
543,ATP6V0C
544,GET1
545,VSTM2A
546,MRPL37
547,WFDC10B
548,TSPAN4
549,TRBV6-1
550,TRBV10-1
551,TRAV26-1
552,TRBV6-2
553,UBAC2
554,TRAV36DV7
555,TRAV9-2
556,TRBV6-6
557,UPK1A
558,UPK3B
559,ZNF385C
560,ZBTB22
561,ZPLD1
562,VWA8
563,TMEM107
564,SMIM43
565,UNC5C
566,TRAV30
567,TRAV39
568,TRBV6-4
569,UCN2
570,TAS2R41
571,C1QTNF9B
572,SERPINA6
573,CBLN3
574,CILP
575,CLDND2
576,CD300LD
577,DNAJC16
578,CTRB2
579,CYP2C18
580,CLCF1
581,COL6A3
582,COL1A2
583,COL2A1
584,COL5A2
585,COL8A1
586,CYP11B1
587,SERPINC1
588,ANGEL1
589,ADGRF5
590,RPN2
591,C1QTNF3
592,C1QTNF9
593,C2CD4B
594,CTSF
595,C1QC
596,CPB1
597,CTSO
598,ADAMTS20
599,BPIFA1
600,BPIFB2
601,COQ9
602,CACNA2D2
603,BPIFB3
604,B4GALT4
605,B3GALT4
606,COL8A2
607,LETMD1
608,CYP2C19
609,CYP4F2
610,COL11A2
611,COL18A1
612,COL13A1
613,CYP2C9
614,CYP26C1
615,CYP2C8
616,CYP46A1
617,CYP4F3
618,CYP4F12
619,HTR3C
620,HTR3E
621,MRPS14
622,CHRNA5
623,CHRNA6
624,CHRNA1
625,CHRNA2
626,ACTL10
627,HTR3D
628,CHRNA9
629,C1QTNF12
630,HTR3B
631,ADORA2B
632,FBXL4
633,HLA-DRB4
634,MFN2
635,MTG2
636,DOLK
637,GOT2
638,CYP4F11
639,PXMP2
640,SMPD1
641,APOA2
642,ARTN
643,ARID1B
644,PTRH2
