Number,Gene Name, Transmembrane Domain?
212,HPCA,False
213,SYNGR3,True
214,FAM155A,True
215,ATP8A2,True
216,PTPRT,True
217,SYT16,False
218,CKMT1A,False
219,CKMT1A,False
220,NEUROD6,False
221,ST8SIA5,True
222,PPP1R17,False
223,KCTD16,False
224,PCSK1,False
225,NEFL,False
226,ELAVL3,False
227,HS3ST5,True
228,TMEM145,True
229,PENK,False
230,DACH2,False
231,KSR2,False
232,EIF4E1B,False
233,CAMK2N2,False
234,SYP,True
235,CTXN2,True
236,KRT222,False
237,GABRA6,True
238,PVALB,False
239,SH3GL2,False
240,GRM1,True
241,SLC30A3,True
242,NEFM,False
243,NPTX1,False
244,ATP1A3,True
245,SCG5,False
246,GUCA1A,False
247,ASIC2,True
248,GPR26,True
249,DCC,True
250,GAD1,False
251,VGF,False
252,DOK6,False
253,ZFR2,False
254,GRIA3,True
255,SYT4,True
256,CELF5,False
257,GABBR2,True
258,PAK5,False
259,KCTD8,False
260,GRIN2A,True
261,CREG2,False
262,TAC3,False
263,ERICH3,False
264,GPR158,True
265,CRYM,False
266,JAKMIP1,False
267,SLC6A17,True
268,CACNG8,True
269,GABRB2,True
270,RGS8,False
271,CADPS,False
272,GRIK1,True
273,INA,False
274,ARHGAP36,False
275,TMEM132D,True
276,SLC17A6,True
277,SEZ6,True
278,CPLX2,False
279,SYNPR,True
280,BSN,False
281,OPRK1,True
282,PTPRR,True
283,WNT10B,False
284,SYN3,False
285,PLPPR5,True
286,ELAVL4,False
287,PRMT8,False
288,NRIP3,False
289,CACNG3,True
290,DLX1,False
291,AGBL4,False
292,KCNA1,True
293,NYAP1,False
294,NRXN3,True
295,SNAP91,False
296,CDH7,True
297,FRRS1L,True
298,GDAP1L1,False
299,SYT13,True
300,CHGB,False
301,CDH18,True
302,RAB3C,False
303,SLC12A5,True
304,ATP2B2,True
305,SYT1,True
306,ADD2,False
307,NECAB2,False
308,SLC17A7,True
309,GRIN2B,True
310,CALY,True
311,TBR1,False
312,ADGRA1,True
313,CACNA1B,True
314,ARPP21,False
315,GLRA2,True
316,CLVS1,False
317,KCND2,True
318,SYT2,True
319,CDH8,True
320,PTPN5,True
321,SNCB,False
322,GABRG3,True
323,KCNJ3,True
324,SULT4A1,False
325,SV2C,True
326,KCNC1,True
327,SLC8A2,True
328,SCN2A,True
329,SLC1A6,True
330,PDYN,False
331,SV2B,True
332,GAD2,False
333,NDST3,True
334,GRIA1,True
335,CELF4,False
336,MDGA2,False
337,UNC80,True
338,ATP2B3,True
339,ELAVL2,False
340,CAMKV,False
341,GABRA1,True
342,ST8SIA3,True
343,SLC32A1,True
344,C11orf87,True
